
                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
  2510       2535        26.0368        26.4701    9.35033e-06
  2520       2545        26.0368          26.47    5.59839e-06
  2530       2555        26.0368        26.4698    3.35196e-06
  2540       2565        26.0368        26.4696    2.00694e-06
  2550       2575        26.0368        26.4696    1.20163e-06
  2560       2585        26.0368        26.4696    7.19461e-07
  2570       2595        26.0368        26.4696    4.30768e-07
* 2572       2601        26.0368        26.4695        35.5535
  2580       2609        26.0368        26.4695        23.5869
  2590       2619        26.0368        26.4695        14.1224
  2600       2629        26.0368        51.3405        8.45557
  2610       2639        26.0368        54.4826        5.06266
  2620       2649        26.0368        54.4826         3.0312
  2630       2659        26.0368        54.4826        1.81489
  2640       2669        26.0368        54.4826        1.08664
  2650       2679        26.0368        54.4826       0.650614
  2660       2689        26.0368        54.4826       0.389547
  2670       2699        26.0368          47.58       0.233236
  2680       2709        26.0368        33.6194       0.139647
  2690       2719        26.0368        33.6194      0.0836118
  2700       2729        26.0368        33.6194      0.0500615

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
  2710       2739        26.0368        33.6194      0.0299737
  2720       2749        26.0368        33.3768      0.0179463
  2730       2759        26.0368        31.6606      0.0107451
  2740       2769        26.0368        31.3631     0.00643351
  2750       2779        26.0368        31.1621     0.00385198
  2760       2789        26.0368        31.0834     0.00230632
  2770       2799        26.0368        30.9888     0.00138088
  2780       2809        26.0368        30.9019    0.000826784
  2790       2819        26.0368        30.8839    0.000495026
  2800       2829        26.0368        30.8529     0.00029639
  2810       2839        26.0368        30.8331     0.00017746
  2820       2849        26.0368        30.8247    0.000106252
  2830       2859        26.0368        30.8206    6.36169e-05
  2840       2869        26.0368        30.8183    3.80898e-05
  2850       2879        26.0368        30.8154    2.28058e-05
  2860       2889        26.0368        30.8139    1.36546e-05
  2870       2899        26.0368        30.8131    8.17554e-06
  2880       2909        26.0368        30.8129      4.895e-06
  2890       2919        26.0368        30.8127    2.93082e-06
  2900       2929        26.0368        30.8126    1.75479e-06
  2910       2939        26.0368        30.8124    1.05066e-06
  2920       2949        26.0368        30.8124    6.29067e-07
* 2923       2956        26.0368        30.8123        36.1813
  2930       2963        26.0368        30.8123        25.2668
  2940       2973        26.0368        30.8123        15.1281
  2950       2983        26.0368        30.8123        9.05778
  2960       2993        26.0368        30.8123        5.42323
  2970       3003        26.0368        30.8123        3.24709
  2980       3013        26.0368        30.8123        1.94415
  2990       3023        26.0368        30.8123        1.16403
  3000       3033        26.0368        30.8123       0.696951

                           Best        Current           Mean
Iteration   f-count         f(x)         f(x)         temperature
  3010       3043        26.0368        30.8123        0.41729
  3020       3053        26.0368        30.8123       0.249847
  3030       3063        26.0368        30.8123       0.149593
  3040       3073        26.0368        30.8123      0.0895666
  3050       3083        26.0368        30.8123      0.0536268
  3060       3093        26.0368        30.8123      0.0321084
  3070       3103        26.0368        30.8123      0.0192245
  3080       3113        26.0368        30.7811      0.0115104
  3090       3123        26.0368        30.5532      0.0068917
  3100       3133        26.0368        30.5231     0.00412632
Switching to the hybrid optimization algorithm (FMINCON).
                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
    0       5    2.603683e+01    0.000e+00    2.155e+00
    1      20    2.602067e+01    0.000e+00    9.430e+01    2.613e-02
    2      26    2.598112e+01    0.000e+00    8.846e+01    2.501e-02
    3      35    2.589056e+01    0.000e+00    1.666e+01    3.364e-02
    4      43    2.587239e+01    0.000e+00    1.585e+01    2.448e-02
    5      50    2.585728e+01    0.000e+00    9.411e+01    1.476e-02
    6      55    2.582765e+01    0.000e+00    3.970e+00    1.037e-02
    7      66    2.582830e+01    0.000e+00    1.088e+00    2.848e-03
    8      73    2.582899e+01    0.000e+00    1.871e+00    2.778e-03
    9      78    2.582745e+01    0.000e+00    1.200e+00    3.896e-03
   10      83    2.582749e+01    0.000e+00    1.000e-01    6.944e-04
   11      88    2.582709e+01    0.000e+00    2.552e-01    1.619e-03
   12      93    2.582710e+01    0.000e+00    2.000e-02    3.115e-04
   13      98    2.582709e+01    0.000e+00    9.187e-03    3.452e-04
   14     103    2.582709e+01    0.000e+00    4.904e-02    1.555e-05
   15     119    2.582709e+01    0.000e+00    1.383e-02    4.119e-07
   16     125    2.582709e+01    0.000e+00    9.785e-03    2.776e-07
   17     131    2.582709e+01    0.000e+00    4.033e+00    7.907e-07
   18     141    2.582709e+01    0.000e+00    4.137e-02    6.862e-07
   19     147    2.582709e+01    0.000e+00    4.201e-02    1.715e-07

<a href = "matlab: helpview('optim','local_min_poss_with_constr','CSHelpWindow');">Local minimum possible. Constraints satisfied</a>.

fmincon stopped because the <a href = "matlab: helpview('optim','norm_curr_step_simple_fminconip','CSHelpWindow');">size of the current step</a> is less than
the value of the <a href = "matlab: helpview('optim','step_size_tol','CSHelpWindow');">step size tolerance</a> and constraints are 
satisfied to within the value of the <a href = "matlab: helpview('optim','constraint_tolerance','CSHelpWindow');">constraint tolerance</a>.

<<a href = "matlab: createExitMsg({'optimlib:sqpLineSearch:Exit2basic','fmincon'},{'optimlib:sqpLineSearch:Exit2detailed','1.000000e-10','0.000000e+00','1.000000e-06'},true,true);;">stopping criteria details</a>>
Optimization terminated: change in best function value less than options.FunctionTolerance.
FMINCON: 
Local minimum possible. Constraints satisfied.

fmincon stopped because the size of the current step is less than
the value of the step size tolerance and constraints are 
satisfied to within the value of the constraint tolerance.

<stopping criteria details>

Optimization stopped because the relative changes in all elements of x are
less than options.StepTolerance = 1.000000e-10, and the relative maximum constraint
violation, 0.000000e+00, is less than options.ConstraintTolerance = 1.000000e-06.
Optimal parameters are:
	2.72974e+00
	6.49587e-02
	4.97185e-01
	-4.53006e+00
Elapsed time is 32.167003 seconds.
Script time (hh:mm:ss): 00:31:02
